frame,D_sigma0,H_sigma0,D_sigma5,H_sigma5,D_sigma10,H_sigma10,D_sigma20,H_sigma20,D_sigma40,H_sigma40
189,4676599,0.00567805,11545724,0.00525367,19075408,0.00557485,34207404,0.00545910,62849231,0.00686246
190,5205056,0.00578511,12011296,0.00568094,19442837,0.00549961,34432788,0.00647569,62912057,0.00620274
191,6676357,0.01531057,13175373,0.01326196,20388540,0.01231289,35075228,0.01198688,63197126,0.00973187
192,8321255,0.01586420,14615053,0.01561921,21619885,0.01569155,35969487,0.01485340,63725730,0.01330729
193,8552194,0.01656250,14722661,0.01571566,21664311,0.01577932,35950212,0.01496142,63437667,0.01388310
194,8243996,0.01755015,14457957,0.01362944,21404893,0.01214313,35679015,0.01242477,63200189,0.01246431
195,8314267,0.01693866,14509050,0.01237076,21471602,0.01041088,35656915,0.00915413,63153519,0.00841821
196,8968638,0.01643133,15067429,0.01319541,21915207,0.00824267,36021489,0.00683835,63326246,0.00478974
197,9266850,0.01997492,15314979,0.01191647,22140376,0.00980324,36208884,0.00638117,63530387,0.00546200
198,8729473,0.01092593,14880397,0.00917438,21766897,0.00778742,35907854,0.00652199,63320210,0.00636381
199,7929185,0.01781925,14139499,0.01071759,21086618,0.00793692,35415808,0.00672840,63050480,0.00599344
200,7193345,0.00899113,13506222,0.00587963,20540956,0.00621914,34992000,0.00616030,62814342,0.00597319
201,6561472,0.00668403,13021165,0.00623071,20136663,0.00504437,34694784,0.00488715,62658314,0.00547261
202,5995219,0.00447242,12554940,0.00527681,19743776,0.00423804,34388398,0.00377604,62609773,0.00463831
203,5895549,0.00780961,12448258,0.00639178,19655526,0.00549093,34318856,0.00560282,62509846,0.00528453
204,6095523,0.00590374,12551761,0.00498457,19757334,0.00517843,34425670,0.00494117,62520278,0.00497203
205,6501834,0.00667535,12936062,0.00504244,20084221,0.00496046,34667012,0.00469811,62748303,0.00489969
206,7538703,0.01330343,13866555,0.01071277,20883796,0.00901138,35301222,0.00732639,63205505,0.00649884
207,8447518,0.01429977,14566323,0.01164931,21515668,0.01160301,35802868,0.01092207,63642957,0.01085648
208,8642385,0.01315779,14743008,0.01224537,21691249,0.01174865,36033054,0.01192419,63971617,0.01178241
209,8227572,0.01955826,14354665,0.01318576,21372120,0.01225598,35848256,0.01221836,63913958,0.01248457
210,7337425,0.01575039,13457832,0.00961709,20608953,0.00945216,35334555,0.00910976,63646230,0.00900270
211,5073516,0.00771991,11806313,0.00673032,19247304,0.00738812,34330529,0.00680170,63146139,0.00584684
212,1985343,0.00339892,9517483,0.00457465,17450155,0.00458044,33126890,0.00450617,62445916,0.00611786
213,615442,0.00247782,8740778,0.00350116,16876814,0.00444155,32770962,0.00459298,62301677,0.00639853
214,292393626,1.31184703,290301852,1.25210455,288181638,1.12469039,284270415,0.94252894,275720254,0.75005883
215,47955,0.00201389,11697365,0.00562404,23309555,0.00610147,45658611,0.00624325,83937157,0.00724344
216,5282467,0.11714506,13415262,0.07274691,24408089,0.05165799,46269412,0.02772666,84444326,0.01991030
217,4581807,0.09597897,13052843,0.06579379,24150347,0.04598283,46172719,0.02375386,84589665,0.01431809
218,2727990,0.08527681,12197448,0.05360340,23618493,0.03721354,45917244,0.01934414,84669216,0.01362751
219,3824395,0.12640529,12385669,0.08042342,23725768,0.05728781,45959106,0.02966628,84847880,0.01714796
220,2565217,0.07553241,12156310,0.05101466,23572789,0.03640721,45849596,0.01784336,84896833,0.01223380
221,189252,0.00215567,11721316,0.00475887,23315980,0.00510610,45757562,0.00643711,84859058,0.00598476
222,3297821,0.10644001,12297853,0.06760706,23627980,0.04855324,45930503,0.02429688,85024684,0.01571663
223,2555035,0.07586806,12138493,0.05070023,23541192,0.03637731,45863147,0.02018711,85090186,0.01218943
224,3607207,0.11390239,12324847,0.07345100,23640437,0.05345583,45919546,0.02671682,85175549,0.01757813
225,2268037,0.07014371,12068948,0.04487654,23495095,0.03264275,45822829,0.01770158,85244314,0.01208719
226,3213098,0.09592496,12261743,0.06256462,23613356,0.04650174,45896241,0.02387828,85393444,0.01571277
227,222489,0.00251157,11701795,0.00500193,23313401,0.00520255,45701716,0.00593171,85402830,0.00576775
228,2721706,0.07302951,12195421,0.05438272,23589156,0.03964796,45870329,0.02234086,85555102,0.01324942
229,4178485,0.13527585,12507681,0.08457176,23748595,0.06194734,45914546,0.03203993,85494821,0.01924672
230,3511061,0.10392747,12429052,0.07486497,23728293,0.05428916,45878552,0.03013792,85562023,0.01859568
231,2677108,0.07831597,12261293,0.05185282,23619101,0.03672068,45767273,0.01872396,85663306,0.01308160
232,2956044,0.08399884,12249790,0.05294753,23606053,0.04102913,45733701,0.02160301,85693551,0.01378376
233,232095,0.00293499,11717187,0.00434124,23256725,0.00550154,45501716,0.00631269,85471217,0.00631848
234,3311377,0.10513310,12350621,0.07481964,23612519,0.05303337,45681821,0.02789159,85609336,0.01841435
235,3490645,0.10886574,12347823,0.07400656,23621716,0.05340181,45696061,0.02955054,85662774,0.01688657
236,2543188,0.06029321,12171317,0.04794657,23539649,0.03546971,45645264,0.01935957,85687406,0.01323110
237,3947458,0.12259452,12446645,0.08225019,23677826,0.06203993,45647589,0.03227720,85716282,0.01860629
238,2377446,0.06058546,12161080,0.04416184,23503340,0.03167438,45512923,0.01866223,85674015,0.01202450
239,204574,0.00244599,11709392,0.00469039,23218650,0.00530961,45350123,0.00591725,85605801,0.00498746
240,4527925,0.10425540,12613797,0.08135320,23738391,0.06160687,45582161,0.03197531,85585034,0.01874228
241,2316487,0.07880594,12120937,0.05255594,23461624,0.04051022,45362597,0.02298900,85385036,0.01390046
242,3455406,0.10456790,12342864,0.07560475,23545134,0.05636671,45386726,0.03159915,85448384,0.01901717
243,2344624,0.07101080,12116164,0.05042052,23432500,0.03698688,45306080,0.02132041,85443277,0.01275559
244,3263670,0.09429398,12285244,0.06846065,23518923,0.05162905,45321762,0.02817419,85403310,0.01699749
245,160317,0.00279417,11692259,0.00489969,23165785,0.00587288,45102987,0.00572531,85306424,0.00416667
246,2294901,0.06233893,12105323,0.04767554,23424404,0.03558063,45236813,0.01965760,85389709,0.01393036
247,3446172,0.10989487,12318777,0.07373264,23515030,0.05506269,45305857,0.03075231,85368413,0.01797743
248,2450311,0.06232157,12110729,0.04904610,23415209,0.03678434,45221095,0.02133777,85338976,0.01300444
249,2922140,0.08937886,12202961,0.06288098,23464271,0.04659819,45202841,0.02470775,85249494,0.01591628
250,2684667,0.07166281,12151193,0.05430941,23416151,0.03981964,45204158,0.02401138,85130204,0.01436246
251,181082,0.00225019,11702895,0.00488522,23155675,0.00520448,44982837,0.00574653,85068259,0.00551119
252,3557372,0.11208719,12297793,0.07888889,23474892,0.05725791,45136400,0.03000096,85105830,0.01828800
253,2753558,0.08011574,12154796,0.05766590,23393285,0.04631944,45061542,0.02630015,84957469,0.01630305
254,3373616,0.09869309,12297619,0.07265529,23459926,0.05308160,45074747,0.03004244,84887894,0.02011767
255,2369207,0.06635320,12071755,0.04671103,23340683,0.03429398,44912411,0.02153260,84746757,0.01317612
256,3474728,0.11199749,12290673,0.07358796,23442460,0.05341532,44936698,0.03000386,84745914,0.01791281
257,191701982,0.69950231,191960328,0.63690104,192587995,0.55298708,194487127,0.44201196,200206595,0.36528935
258,30568,0.00141879,11540155,0.00549576,22718973,0.00581597,44079598,0.00646123,83036671,0.00525270
259,1582529,0.00453221,11958653,0.00593268,22933744,0.00633488,44207192,0.00654803,83024975,0.00670042
260,1626051,0.00391493,11942692,0.00676408,22924439,0.00632137,44242290,0.00607060,83106667,0.00589892
261,1552320,0.00337191,11912141,0.00567901,22878872,0.00519483,44207966,0.00667245,83082141,0.00610629
262,42090,0.00057388,11532436,0.00532215,22703033,0.00583333,44138728,0.00604167,83056437,0.00575039
263,1712461,0.00317901,11934643,0.00615355,22929518,0.00530768,44242482,0.00633102,83058903,0.00546007
264,2785313,0.00638021,12347472,0.00614680,23146611,0.00705729,44368360,0.00608314,83162950,0.00686632
