rank,task,hash,cost,score,archetype
58,task278,b27ca6d3,6785,16.1775,draw|get_pixel|random_pixels|remove_neighbors
59,task080,39e1d7f9,6746,16.1833,all_pixels|create_linegrid|draw|overlaps
60,task074,3631a71a,6592,16.2064,draw|get_pixel
61,task148,673ef223,6319,16.2487,flip_horiz
62,task383,f1cefba8,6280,16.2549,
63,task264,a8c38be5,6144,16.2768,overlaps
64,task338,d5d6de2d,6131,16.2789,overlaps
65,task208,890034e9,6086,16.2863,get_pixel
66,task382,f15e1fac,5783,16.3373,apply_gravity|flip_horiz
67,task008,05f2a901,5627,16.3647,rectangle_nibbles|transpose
68,task387,f35d900a,5570,16.3748,
69,task279,b2862040,5555,16.3775,draw|overlaps|remove_neighbors
70,task085,3bdb4ada,5381,16.4094,
71,task251,a5313dff,5355,16.4142,draw|overlaps
72,task359,e26a3af2,5233,16.4373,random_pixels|transpose
73,task161,6cdd2623,5218,16.4401,random_pixels
74,task363,e5062a87,5131,16.4569,conway_sprite|diagonally_connected
75,task280,b527c5c6,4996,16.4836,transpose
76,task361,e40b9e2f,4983,16.4862,
77,task157,6a1e5592,4955,16.4918,continuous_creature|overlaps
78,task201,846bdb03,4775,16.5289,conway_sprite|overlaps
79,task196,810b9b61,4761,16.5318,draw|overlaps
80,task037,1f876c06,4746,16.5349,
81,task089,3e980e27,4596,16.5671,all_pixels|diagonally_connected|overlaps
82,task004,025d127b,4570,16.5727,
83,task378,ec883f72,4568,16.5732,draw
84,task398,feca6190,4560,16.5749,
85,task358,e21d9049,4506,16.5868,flip_horiz
86,task277,b230c067,4459,16.5973,continuous_creature|overlaps
87,task132,56ff96f3,4390,16.6129,overlaps
88,task265,a8d7556c,4362,16.6193,random_pixels
89,task206,88a10436,4232,16.6496,connected|conway_sprite
90,task117,4c5c2cf0,4172,16.6638,conway_sprite|diagonally_connected|flip_horiz
91,task365,e50d258f,4055,16.6923,overlaps
92,task050,253bf280,4001,16.7057,
93,task131,56dc2b01,3987,16.7092,continuous_creature|flip_horiz|transpose
94,task069,321b1fc6,3915,16.7274,all_pixels|connected|overlaps
95,task177,7468f01a,3822,16.7515,continuous_creature
96,task284,b7249182,3819,16.7523,transpose
97,task107,469497ad,3807,16.7554,draw
98,task162,6cf79266,3761,16.7676,random_pixels
99,task268,aba27056,3626,16.8041,draw|transpose
100,task093,4093f84a,3584,16.8158,random_pixels|transpose
101,task021,1190e5a7,3555,16.8239,
102,task137,5c2c9af4,3526,16.8321,draw
103,task125,543a7ed5,3463,16.8501,overlaps
104,task310,c909285e,3287,16.9023,
105,task333,d43fd935,3227,16.9207,random_pixels
106,task355,de1cd16c,3227,16.9207,all_pixels
107,task330,d2abd087,3222,16.9222,continuous_creature|overlaps
108,task250,a48eeaf7,3191,16.9319,
109,task086,3befdf3e,3150,16.9448,
110,task079,39a8645d,3144,16.9467,conway_sprite|diagonally_connected|overlaps
111,task042,22233c11,3110,16.9576,draw
112,task090,3eda0437,3109,16.9579,random_pixels
113,task019,10fcaaa3,3100,16.9608,
114,task390,f8a8fe49,3093,16.9631,diagonally_connected|random_pixels|transpose
115,task335,d4a91cb9,3075,16.9689,hpwl
116,task270,ae3edfdc,3073,16.9696,
117,task091,3f7978a0,3028,16.9843,
118,task354,ddf7fa4f,3009,16.9906,
119,task397,fcc82909,2978,17.0010,
120,task256,a65b410d,2952,17.0098,
121,task246,a2fd1cf0,2901,17.0272,hpwl
122,task224,928ad970,2831,17.0516,
123,task394,f9012d9b,2805,17.0608,
124,task190,7ddcd7ec,2800,17.0626,
125,task245,a1570a43,2783,17.0687,conway_sprite
126,task154,6855a6e4,2763,17.0759,diagonally_connected|random_pixels|transpose
127,task071,3345333e,2699,17.0994,continuous_creature|flip_horiz
128,task094,41e4d17e,2682,17.1057,
129,task070,32597951,2613,17.1317,all_pixels
130,task055,272f95fa,2600,17.1367,
131,task046,234bbc79,2578,17.1452,
132,task062,2bcee788,2536,17.1617,flip_horiz|transpose
133,task102,44d8ac46,2527,17.1652,overlaps
134,task035,1f642eb9,2521,17.1676,
135,task388,f5b8619d,2516,17.1696,all_pixels
136,task238,9aec4887,2511,17.1716,conway_sprite
137,task184,780d0b14,2446,17.1978,
138,task030,1caeab9d,2396,17.2184,all_pixels|diagonally_connected
139,task163,6d0160f0,2393,17.2197,all_pixels|hollywood_squares
140,task281,b548a754,2388,17.2218,transpose
141,task034,1f0c79e5,2365,17.2315,
142,task212,8d510a79,2360,17.2336,
143,task185,7837ac64,2331,17.2459,create_linegrid|diagonally_connected
144,task134,5ad4f10b,2306,17.2567,conway_sprite|random_pixels
145,task374,ea32f347,2304,17.2576,
146,task336,d4f3cd78,2288,17.2646,apply_gravity
147,task168,6e19193c,2239,17.2862,
148,task368,e76a88a6,2208,17.3002,
149,task381,ef135b50,2199,17.3042,get_pixel|overlaps
150,task036,1f85a75f,2177,17.3143,connected|random_pixels
151,task323,d06dbe63,2177,17.3143,
152,task273,af902bf9,2161,17.3217,
153,task325,d0f5fe59,2133,17.3347,continuous_creature|overlaps
154,task260,a78176bb,2114,17.3437,
155,task084,3bd67248,2038,17.3803,
156,task213,8e1813be,2030,17.3842,transpose
157,task022,137eaa0f,2017,17.3906,
158,task275,b190f7f5,2014,17.3921,all_pixels|diagonally_connected
159,task287,b8825c91,1994,17.4021,
160,task392,f8c80d96,1987,17.4056,draw
161,task348,db3e9e38,1956,17.4213,
162,task124,53b68214,1953,17.4229,conway_sprite|draw
163,task197,82819916,1941,17.4290,
164,task013,0a938d79,1937,17.4311,transpose
165,task099,444801d8,1930,17.4347,
166,task237,99fa7670,1919,17.4404,
167,task088,3de23699,1872,17.4652,all_pixels
168,task199,834ec97d,1837,17.4841,
169,task011,09629e4f,1813,17.4973,all_pixels|hollywood_squares
170,task041,22168020,1809,17.4995,
171,task051,25d487eb,1803,17.5028,apply_gravity
172,task112,4938f0c2,1780,17.5156,random_pixels
173,task109,47c1f68c,1779,17.5162,conway_sprite
174,task302,c0f76784,1774,17.5190,overlaps
175,task156,694f12f3,1744,17.5361,
176,task377,eb5a1d5d,1744,17.5361,
177,task045,22eb0ac0,1673,17.5776,
178,task169,6e82a1ae,1670,17.5794,overlaps
179,task061,29ec7d0e,1668,17.5806,
180,task351,dc0a314f,1653,17.5897,
181,task033,1e32b0e9,1639,17.5982,hollywood_squares
182,task226,941d9a10,1633,17.6018,
183,task303,c1d99e64,1620,17.6098,
184,task342,d89b689b,1605,17.6191,
185,task295,bbc9ae5d,1604,17.6197,
186,task369,e8593010,1599,17.6229,
187,task159,6b9890af,1568,17.6424,conway_sprite|diagonally_connected
188,task020,11852cab,1534,17.6644,
189,task141,623ea044,1505,17.6835,
190,task345,d9f24cd1,1495,17.6901,
191,task308,c8cbb738,1488,17.6948,
192,task075,363442ee,1487,17.6955,all_pixels
193,task031,1cf80156,1480,17.7002,
194,task240,9d9215db,1475,17.7036,flip_horiz
195,task217,8f2ea7aa,1470,17.7070,conway_sprite
