# NOTE: cost=0 (params=0, memory=0) の correct ネットは score=25.0(満点)。公式 max(1,25-ln(cost)) は cost<=1 で 25 上限。
task,cost,correct,score,secs
task270,2045,1,17.3768,0.5
task271,167,1,19.8820,0.5
task272,118,1,20.2293,1.3
task273,1249,1,17.8699,0.3
task274,97,1,20.4253,0.3
task275,1370,1,17.7774,0.4
task276,10,1,22.6974,0.2
task277,2942,1,17.0132,0.5
task278,358,1,19.1195,2.4
task279,4348,1,16.6225,0.3
task280,1173,1,17.9327,1.4
task281,1649,1,17.5921,0.4
task282,261,1,19.4355,2.2
task283,605,1,18.5948,0.2
task284,1175,1,17.9310,0.4
task285,10318,1,15.7584,1.4
task286,13542,1,15.4864,1.1
task287,190,1,19.7530,0.3
task288,238,1,19.5277,0.3
task289,73,1,20.7095,0.3
task290,355,1,19.1279,0.2
task291,40,1,21.3111,0.2
task292,80,1,20.6180,0.2
task293,87,1,20.5341,3.7
task294,411,1,18.9814,0.3
task295,393,1,19.0262,0.8
task296,30,1,21.5988,0.3
task297,786,1,18.3330,0.3
task298,99,1,20.4049,0.5
task299,24,1,21.8219,0.3
task300,266,1,19.4165,0.6
task301,295,1,19.3130,3.4
task302,899,1,18.1987,0.3
task303,39,1,21.3364,0.9
task304,370,1,19.0865,0.2
task305,10,1,22.6974,2.3
task306,162,1,19.9124,119.4
task307,4,1,23.6137,0.2
task308,1051,1,18.0425,0.4
