kind,i,value_ns
sample,60600,125
spike,60644,301041
sample,60700,0
sample,60800,42
sample,60900,125
sample,61000,125
cumavg,61000,812
sample,61100,42
sample,61200,83
sample,61300,125
sample,61400,41
sample,61500,42
sample,61600,42
sample,61700,42
sample,61800,0
sample,61900,0
sample,62000,41
cumavg,62000,800
sample,62100,0
sample,62200,333
sample,62300,83
sample,62400,42
sample,62500,0
sample,62600,42
sample,62700,42
sample,62800,42
sample,62900,83
sample,63000,41
cumavg,63000,788
sample,63100,0
sample,63200,0
sample,63300,41
sample,63400,42
sample,63500,0
sample,63600,0
sample,63700,0
sample,63800,0
sample,63900,42
sample,64000,42
cumavg,64000,777
spike,64022,248459
sample,64100,0
sample,64200,125
spike,64263,56166
sample,64300,0
sample,64400,41
sample,64500,41
spike,64568,62375
sample,64600,42
spike,64613,56875
spike,64624,127458
sample,64700,0
sample,64800,0
sample,64900,0
sample,65000,0
cumavg,65000,775
spike,65080,101917
sample,65100,0
sample,65200,125
sample,65300,125
spike,65386,118375
sample,65400,125
sample,65500,167
spike,65540,711708
sample,65600,83
sample,65700,42
spike,65754,77375
sample,65800,83
spike,65871,932708
sample,65900,83
sample,66000,84
cumavg,66000,795
spike,66048,255500
sample,66100,125
spike,66136,91458
sample,66200,83
sample,66300,0
sample,66400,83
sample,66500,0
sample,66600,83
sample,66700,42
sample,66800,125
sample,66900,84
sample,67000,167
cumavg,67000,791
sample,67100,125
sample,67200,167
sample,67300,167
sample,67400,83
sample,67500,42
sample,67600,250
sample,67700,42
sample,67800,41
sample,67900,42
sample,68000,125
cumavg,68000,781
sample,68100,125
sample,68200,84
sample,68300,166
sample,68400,83
sample,68500,167
sample,68600,167
sample,68700,167
sample,68800,83
sample,68900,125
spike,68927,403125
sample,69000,42
cumavg,69000,778
sample,69100,125
sample,69200,42
sample,69300,0
sample,69400,42
sample,69500,83
sample,69600,41
sample,69700,42
sample,69800,42
sample,69900,83
sample,70000,375
cumavg,70000,767
sample,70100,125
sample,70200,41
sample,70300,83
sample,70400,125
sample,70500,0
sample,70600,42
sample,70700,125
sample,70800,41
sample,70900,42
sample,71000,42
cumavg,71000,757
sample,71100,41
sample,71200,42
sample,71300,83
sample,71400,0
sample,71500,41
sample,71600,41
sample,71700,0
sample,71800,42
sample,71900,0
sample,72000,42
cumavg,72000,748
sample,72100,0
sample,72200,0
sample,72300,41
sample,72400,42
sample,72500,84
sample,72600,0
sample,72700,125
sample,72800,0
sample,72900,0
sample,73000,0
cumavg,73000,738
sample,73100,41
sample,73200,0
sample,73300,41
sample,73400,42
sample,73500,42
sample,73600,41
sample,73700,41
spike,73717,64666
sample,73800,125
sample,73900,125
sample,74000,125
cumavg,74000,730
sample,74100,125
sample,74200,83
sample,74300,125
sample,74400,167
sample,74500,208
sample,74600,125
sample,74700,125
sample,74800,125
sample,74900,125
sample,75000,125
cumavg,75000,722
sample,75100,125
sample,75200,42
sample,75300,84
sample,75400,250
sample,75500,84
sample,75600,125
sample,75700,83
sample,75800,208
sample,75900,84
sample,76000,42
cumavg,76000,714
sample,76100,125
sample,76200,84
sample,76300,125
sample,76400,42
sample,76500,42
sample,76600,42
sample,76700,167
sample,76800,167
sample,76900,83
sample,77000,125
cumavg,77000,706
sample,77100,41
