rank,task,hash,cost,score,archetype
262,task095,4258a5f9,140,20.0584,overlaps
263,task108,46f33fce,140,20.0584,all_pixels
264,task177,7468f01a,140,20.0584,continuous_creature
265,task235,995c5fa3,140,20.0584,
266,task313,caa06a1f,140,20.0584,
267,task229,9565186b,139,20.0655,square_with_unique_max_color
268,task001,007bbfb7,138,20.0727,all_pixels
269,task003,017c7c7b,138,20.0727,all_pixels
270,task072,3428a4f5,134,20.1022,random_pixels
271,task083,3af2c5a8,128,20.1480,random_pixels
272,task202,855e0971,128,20.1480,transpose
273,task217,8f2ea7aa,128,20.1480,conway_sprite
274,task246,a2fd1cf0,128,20.1480,hpwl
275,task336,d4f3cd78,128,20.1480,apply_gravity
276,task045,22eb0ac0,126,20.1637,
277,task213,8e1813be,125,20.1717,transpose
278,task360,e3497940,124,20.1797,
279,task335,d4a91cb9,123,20.1878,hpwl
280,task393,f8ff0b80,123,20.1878,continuous_creature|overlaps
281,task060,29c11459,122,20.1960,
282,task149,6773b310,122,20.1960,all_pixels|hollywood_squares
283,task211,8d5021e8,122,20.1960,random_pixels
284,task350,dbc1a6ce,122,20.1960,random_pixels
285,task033,1e32b0e9,121,20.2042,hollywood_squares
286,task381,ef135b50,120,20.2125,get_pixel|overlaps
287,task329,d23f8c26,119,20.2209,
288,task207,88a62173,118,20.2293,
289,task272,aedd82e4,118,20.2293,edgefree_pixels|random_pixels
290,task353,dc433765,118,20.2293,
291,task248,a3df8b1e,117,20.2378,bounce
292,task346,d9fac9be,116,20.2464,random_pixels
293,task362,e48d4e1a,115,20.2551,
294,task022,137eaa0f,111,20.2905,
295,task111,48d8fb45,111,20.2905,conway_sprite|diagonally_connected
296,task027,1b60fb0c,110,20.2995,continuous_creature
297,task141,623ea044,108,20.3179,
298,task390,f8a8fe49,108,20.3179,diagonally_connected|random_pixels|transpose
299,task058,28e73c20,106,20.3366,
300,task078,3906de3d,105,20.3460,
301,task050,253bf280,104,20.3556,
302,task147,67385a82,102,20.3750,edgefree_pixels|random_pixels
303,task040,2204b7a8,100,20.3948,transpose
304,task359,e26a3af2,100,20.3948,random_pixels|transpose
305,task298,bda2d7a6,99,20.4049,
306,task258,a699fb00,97,20.4253,
307,task274,b0c4d837,97,20.4253,
308,task252,a5f85a15,96,20.4357,
309,task032,1e0a9b12,94,20.4567,
310,task227,94f9d214,94,20.4567,random_pixels
311,task236,99b1bc43,92,20.4782,random_pixels
312,task026,1b2d62fb,90,20.5002,grid_intersect|random_pixels
313,task028,1bfc4729,90,20.5002,
314,task139,60b61512,88,20.5227,conway_sprite|diagonally_connected|transpose_inverted
315,task293,ba97ae07,87,20.5341,
316,task120,50cb2852,86,20.5457,overlaps
317,task244,9f236235,86,20.5457,create_linegrid|flip_horiz|random_pixels
318,task318,ce4f8723,84,20.5692,random_pixels
319,task176,7447852a,80,20.6180,
320,task262,a85d4709,80,20.6180,
321,task292,ba26e723,80,20.6180,
322,task320,ce9e57f2,80,20.6180,
323,task332,d406998b,80,20.6180,
324,task386,f2829549,78,20.6433,random_pixels
325,task128,5521c0d9,76,20.6693,overlaps
326,task375,ea786f4a,76,20.6693,
327,task007,05269061,74,20.6959,
328,task144,6430c8c4,74,20.6959,random_pixels
329,task289,b91ae062,73,20.7095,all_pixels|grid_enhance
330,task231,963e52fc,71,20.7373,draw
331,task322,d037b0a7,71,20.7373,
332,task215,8eb1be9a,70,20.7515,conway_sprite|draw
333,task043,2281f1f4,66,20.8103,
334,task395,fafffa47,66,20.8103,random_pixels
335,task269,ac0a08a4,64,20.8411,all_pixels|grid_enhance
336,task317,ce22a75a,63,20.8569,random_pixels
337,task142,62c24649,62,20.8729,
338,task152,67e8384a,62,20.8729,
339,task188,7b7f7511,60,20.9057,
340,task267,aabf363d,60,20.9057,continuous_creature
341,task380,ed36ccf7,60,20.9057,all_pixels
342,task339,d631b094,59,20.9225,all_pixels
343,task249,a416b8f3,58,20.9396,random_pixels
344,task006,0520fde7,56,20.9746,grid_intersect|random_pixels
345,task024,178fcbfb,56,20.9746,
346,task347,dae9d2b5,56,20.9746,random_pixels
347,task100,445eab21,54,21.0110,transpose
348,task167,6e02f1e3,52,21.0488,
349,task021,1190e5a7,51,21.0682,
350,task334,d4469b4b,49,21.1082,all_pixels
351,task110,484b58aa,44,21.2158,
352,task399,ff28f65a,43,21.2388,
353,task291,b9b7f026,40,21.3111,overlaps
354,task303,c1d99e64,39,21.3364,
355,task389,f76d97a5,39,21.3364,all_pixels
356,task098,4347f46a,37,21.3891,overlaps
357,task186,794b24be,33,21.5035,all_pixels
358,task047,23581191,30,21.5988,
359,task063,2bee17df,30,21.5988,transpose
360,task113,496994bd,30,21.5988,
361,task155,68b16354,30,21.5988,
362,task296,bc1d5164,30,21.5988,random_pixels
363,task385,f25ffba3,30,21.5988,flip_horiz
364,task056,27a28665,24,21.8219,
365,task299,bdad9b1f,24,21.8219,flip_horiz
366,task116,4c4377d9,23,21.8645,random_pixels
367,task150,67a3c6ac,22,21.9090,
368,task164,6d0aefbc,22,21.9090,
369,task210,8be77c9e,22,21.9090,random_pixels
370,task311,c9e6f938,22,21.9090,random_pixels
371,task082,3ac3eb23,21,21.9555,
372,task052,25d8a9c8,20,22.0043,
373,task130,5614dbcf,20,22.0043,all_pixels
374,task166,6d75e8bb,20,22.0043,flip_horiz|transpose
375,task314,cbded52d,19,22.0556,
376,task073,3618c87e,16,22.2274,
377,task172,6fa7a44f,16,22.2274,
378,task103,44f52bb0,15,22.2919,all_pixels
379,task372,e98196ab,13,22.4351,random_pixels
380,task016,0d3d703e,10,22.6974,
381,task017,0dfd9992,10,22.6974,
382,task061,29ec7d0e,10,22.6974,
383,task197,82819916,10,22.6974,
384,task276,b1948b0a,10,22.6974,random_pixels
385,task305,c3f564a4,10,22.6974,
386,task309,c8f0f002,10,22.6974,
387,task312,c9f8e694,10,22.6974,overlaps
388,task337,d511f180,10,22.6974,
389,task373,e9afcf9a,8,22.9206,
390,task053,25ff71a9,6,23.2082,all_pixels
391,task087,3c9b0459,5,23.3906,
392,task140,6150a2bd,5,23.3906,
393,task223,9172f3a0,5,23.3906,all_pixels|grid_enhance
394,task307,c59eb873,4,23.6137,grid_enhance|random_pixels
395,task326,d10ecb37,4,23.6137,
396,task135,5bd6f4ac,2,24.3069,
397,task067,2dee498d,0,25.0000,
398,task129,5582e5ca,1,25.0000,all_pixels
399,task179,74dd1130,0,25.0000,transpose
400,task241,9dfd6313,0,25.0000,
