rank,task,hash,cost,score,archetype
129,task297,bd4472b8,372,19.0811,
130,task342,d89b689b,372,19.0811,
131,task394,f9012d9b,356,19.1251,
132,task200,8403a5d5,346,19.1536,
133,task392,f8c80d96,345,19.1565,draw
134,task036,1f85a75f,337,19.1799,connected|random_pixels
135,task225,93b581b8,337,19.1799,draw
136,task228,952a094c,325,19.2162,
137,task159,6b9890af,317,19.2411,conway_sprite|diagonally_connected
138,task388,f5b8619d,314,19.2506,all_pixels
139,task031,1cf80156,301,19.2929,
140,task071,3345333e,296,19.3096,continuous_creature|flip_horiz
141,task325,d0f5fe59,295,19.3130,continuous_creature|overlaps
142,task124,53b68214,294,19.3164,conway_sprite|draw
143,task091,3f7978a0,291,19.3267,
144,task178,746b3537,291,19.3267,transpose
145,task185,7837ac64,287,19.3405,create_linegrid|diagonally_connected
146,task051,25d487eb,283,19.3546,apply_gravity
147,task148,673ef223,282,19.3581,flip_horiz
148,task341,d6ad076f,282,19.3581,apply_gravity
149,task064,2c608aff,274,19.3869,random_pixels
150,task357,e179c5f4,271,19.3979,bounce
151,task041,22168020,268,19.4090,
152,task123,539a4f51,266,19.4165,
153,task105,4612dd53,264,19.4241,
154,task355,de1cd16c,263,19.4278,all_pixels
155,task199,834ec97d,261,19.4355,
156,task079,39a8645d,258,19.4470,conway_sprite|diagonally_connected|overlaps
157,task088,3de23699,255,19.4587,all_pixels
158,task316,cdecee7f,255,19.4587,
159,task042,22233c11,241,19.5152,draw
160,task055,272f95fa,240,19.5194,
161,task068,31aa019c,240,19.5194,
162,task212,8d510a79,240,19.5194,
163,task301,beb8660c,240,19.5194,
164,task153,681b3aeb,237,19.5319,continuous_creature|diagonally_connected
165,task383,f1cefba8,235,19.5404,
166,task189,7c008303,223,19.5928,flip_horiz|random_pixels
167,task259,a740d043,219,19.6109,hollow_conway
168,task126,54d82841,218,19.6155,
169,task358,e21d9049,218,19.6155,flip_horiz
170,task143,63613498,214,19.6340,continuous_creature|overlaps
171,task265,a8d7556c,214,19.6340,random_pixels
172,task300,be94b721,213,19.6387,continuous_creature|overlaps
173,task065,2dc579da,212,19.6434,
174,task247,a3325580,212,19.6434,continuous_creature|overlaps
175,task183,77fdfe62,209,19.6577,random_pixels
176,task206,88a10436,209,19.6577,connected|conway_sprite
177,task240,9d9215db,207,19.6673,flip_horiz
178,task283,b6afb2da,207,19.6673,transpose
179,task081,3aa6fb7a,204,19.6819,has_neighbor
180,task163,6d0160f0,199,19.7067,all_pixels|hollywood_squares
181,task115,4be741c5,197,19.7168,transpose
182,task114,49d1d64f,194,19.7321,
183,task161,6cdd2623,190,19.7530,random_pixels
184,task263,a87f7484,183,19.7905,conway_sprite|transpose
185,task281,b548a754,183,19.7905,transpose
186,task030,1caeab9d,180,19.8070,all_pixels|diagonally_connected
187,task304,c3e719e8,180,19.8070,square_with_unique_max_color
188,task384,f25fbde4,180,19.8070,all_pixels|diagonally_connected
189,task400,ff805c23,177,19.8239,
190,task343,d8c310e9,173,19.8467,draw
191,task193,7f4411dc,170,19.8642,get_pixel|overlaps|random_pixels|remove_neighbors
192,task175,73251a56,166,19.8880,
193,task224,928ad970,166,19.8880,
194,task190,7ddcd7ec,165,19.8941,
195,task278,b27ca6d3,163,19.9062,draw|get_pixel|random_pixels|remove_neighbors
196,task106,46442a0e,161,19.9186,
197,task376,eb281b96,158,19.9374,
198,task020,11852cab,156,19.9501,
199,task059,29623171,156,19.9501,all_pixels|hollywood_squares
200,task306,c444b776,154,19.9630,random_pixels
201,task348,db3e9e38,154,19.9630,
202,task122,5168d44c,153,19.9696,transpose
203,task221,91413438,152,19.9761,all_pixels
204,task195,80af3007,151,19.9827,conway_sprite
